weight_CDM,weight_HRF,weight_CRF,stormSeverity,rainfallSeverity,timeOfDay,threshold,self.evacuated_inside + self.evacuated_outside
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.7,509
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.7,510
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.7,508
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.7,509
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.7,508
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.7999999999999999,130
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.7999999999999999,130
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.7999999999999999,130
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.7999999999999999,130
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.7999999999999999,130
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.1,0.7999999999999999,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.2,0.7,1,Yellow,Daytime,0.7,427
0.1,0.2,0.7,1,Yellow,Daytime,0.7,452
0.1,0.2,0.7,1,Yellow,Daytime,0.7,433
0.1,0.2,0.7,1,Yellow,Daytime,0.7,438
0.1,0.2,0.7,1,Yellow,Daytime,0.7,433
0.1,0.2,0.7,1,Yellow,Daytime,0.7999999999999999,113
0.1,0.2,0.7,1,Yellow,Daytime,0.7999999999999999,105
0.1,0.2,0.7,1,Yellow,Daytime,0.7999999999999999,105
0.1,0.2,0.7,1,Yellow,Daytime,0.7999999999999999,107
0.1,0.2,0.7,1,Yellow,Daytime,0.7999999999999999,104
0.1,0.2,0.7,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.2,0.7,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.2,0.7,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.2,0.7,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.2,0.7,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.30000000000000004,0.6,1,Yellow,Daytime,0.7,197
0.1,0.30000000000000004,0.6,1,Yellow,Daytime,0.7,212
0.1,0.30000000000000004,0.6,1,Yellow,Daytime,0.7,208
0.1,0.30000000000000004,0.6,1,Yellow,Daytime,0.7,203
0.1,0.30000000000000004,0.6,1,Yellow,Daytime,0.7,211
0.1,0.30000000000000004,0.6,1,Yellow,Daytime,0.7999999999999999,1
